Input,Output,Enquiry,File,Interface,Duration,Effort
774,260,340,128,0,4,7490
9,4,3,193,41,17,4150
25,33,28,42,35,9,668
151,28,8,39,0,4,3238
93,0,194,20,0,13,2994
63,0,24,0,0,4,1333
24,0,23,30,0,6,1607
0,108,7,0,5,7,1158
0,23,58,14,20,6,1243
39,7,0,0,0,7,3372
209,129,24,83,15,9,10200
32,5,16,7,0,7,1704
0,115,57,0,42,7,2640
13,54,54,40,7,26,3348
208,26,81,25,0,7,676
65,45,101,42,10,3,911
12,15,3,7,15,6.4,2496
98,20,16,63,5,10,1171
105,28,18,58,0,13,3532
28,0,42,0,0,1,436
278,0,73,0,0,4,909
2075,525,97,0,0,6,9094
0,28,0,25,0,6,344
14,12,15,7,5,3,296
65,4,12,14,0,13,3503
31,28,9,7,0,1,246
51,105,0,105,45,24,2082
68,78,22,62,14,7,191
21,46,3,44,0,15,2974
100,44,61,107,0,2,328
16,5,39,52,0,8,406
9,102,0,10,77,8,1785
39,4,0,14,10,8,471
74,18,33,57,0,5,700
43,71,7,0,0,2,579
43,10,4,15,0,3,1211
63,0,27,45,0,4,1139
706,648,236,235,0,19,14520
0,10,0,0,0,2,239
21,167,3,10,0,5,1262
64,36,9,28,20,8,1754
60,21,29,71,0,6,1514
36,21,0,0,0,8,667
198,14,99,91,10,20,5864
198,14,33,77,0,3,973
554,513,66,703,220,13,5333
28,92,57,0,30,8,1775
0,199,0,0,5,5,204
184,136,103,133,0,7,3148
0,78,10,17,72,12,8716
45,156,27,37,0,6,1464
13,17,6,10,5,2,1358
6,28,0,0,25,7,281
30,7,48,15,0,5,2321
234,44,104,118,0,13,4054
862,63,491,518,300,84,2400
20,125,39,91,17,13,5650
0,84,0,17,5,2,1525
0,21,72,25,40,2,477
0,64,0,0,0,2,503
160,27,96,72,0,10,8470
18,10,3,28,0,3,778
126,13,59,153,30,7.5,2597
137,174,117,147,0,3,950
165,125,93,119,0,13,5727
21,38,39,7,41,4,2040
30,5,19,21,0,8,3677
42,64,0,21,0,2,570
13,56,0,10,40,8,1223
24,24,9,21,0,4,976
42,0,14,0,0,12,387
356,84,170,669,21,13,4416
42,11,32,35,14,8,286
24,9,0,36,0,5,305
18,20,0,43,0,7,129
1061,1009,772,241,5,8,4266
25,46,0,14,15,3,440
30,66,0,7,0,2,1362
153,83,0,112,10,6,2533
75,32,3,62,0,10,225
292,326,155,32,0,13,11045
484,1831,318,208,142,24,32760
15,32,0,28,5,8,2054
4,56,0,7,0,7,252
122,28,113,273,10,8,2362
201,0,36,76,0,5,2459
