TeamExp,ManagerExp,Transactions,Entities,PointsAdjust,Effort
1,4,253,52,305,5152
0,0,197,124,321,5635
4,4,40,60,100,805
0,0,200,119,319,3829
0,0,140,94,234,2149
0,0,97,89,186,2821
2,1,119,42,161,2569
1,2,186,52,238,3913
3,1,172,88,260,7854
3,4,78,38,116,2422
4,1,167,99,266,4067
2,1,146,112,258,9051
1,1,33,72,105,2282
3,4,162,61,223,4172
4,4,223,121,344,4977
3,2,119,48,167,1617
4,3,57,43,100,3192
4,4,68,316,384,3437
3,4,9,386,395,4494
4,2,58,34,92,840
4,4,318,269,587,14973
2,4,88,170,258,5180
2,4,306,132,438,5775
4,1,304,78,382,10577
1,4,89,200,289,3983
4,1,86,230,316,3164
2,0,71,235,306,3542
3,1,148,324,472,4277
4,4,116,170,286,7252
4,1,175,277,452,3948
4,3,79,128,207,3927
1,1,145,38,183,710
4,4,174,78,252,2429
1,1,194,91,285,6405
2,2,126,49,175,651
1,3,137,119,256,9135
2,4,289,88,377,1435
1,4,158,59,217,847
3,3,302,145,447,8050
1,1,451,48,499,4620
2,4,661,132,793,2352
1,1,64,54,118,2174
2,1,182,126,308,6699
2,3,173,332,505,14987
2,2,252,7,259,4004
4,3,131,180,311,12824
2,3,106,39,145,2331
3,3,96,108,204,5817
2,3,116,72,188,2989
3,3,86,49,135,3136
2,3,221,121,342,14434
1,1,61,96,157,2583
1,3,132,89,221,3647
3,7,45,387,432,8232
1,1,55,112,167,3276
1,4,124,52,176,2723
3,3,120,126,246,3472
1,2,47,32,79,1575
1,1,126,107,233,2926
3,2,101,45,146,1876
1,1,78,99,177,2520
4,7,69,74,143,1603
1,3,194,97,291,3626
2,4,323,184,507,11361
1,3,42,31,73,1267
1,2,74,43,117,2548
3,4,101,57,158,1155
0,4,97,42,139,546
2,3,134,77,211,2275
4,5,482,227,709,9100
0,2,213,73,286,595
2,3,473,182,655,13860
4,4,229,169,398,1400
4,3,227,73,300,2800
4,4,395,193,588,9520
4,3,469,176,645,5880
4,4,886,241,1127,23940
