code,type,duration,function_points,estimate,estimate_method,Effort
1,1,107,101.65,495,5,485
1,3,144,57.12,1365,1,990
1,3,604,1010.88,8244,5,13635
1,4,226,45.6,1595,3,1576
1,3,326,1022.58,3828,1,3826
1,4,294,77.04,879,5,1079
1,1,212,159.6,2895,5,2224
1,2,175,225.54,1800,1,1698
1,5,584,144.72,1160,5,1173
1,3,171,84.42,885,5,1401
1,3,201,126.42,2125,5,2170
1,3,195,392.16,1381,5,1122
1,6,109,18.9,1142,3,1024
1,4,263,112.14,1895,5,1832
1,1,165,210.08,1339,5,1016
1,3,46,260.95,447,5,322
2,3,186,609.7,507,5,580
2,3,189,169.85,952,5,1003
2,4,95,56,380,5,380
2,4,53,30,220,5,220
2,4,365,241.86,2879,5,2356
2,4,438,219.88,1483,5,1388
2,4,109,229.71,1667,5,1066
2,3,283,458.38,2125,1,2860
2,4,137,177.63,1175,1,1143
2,4,102,287.64,2213,1,1431
2,4,103,343.54,2247,1,1868
2,4,192,346.8,1926,1,2172
2,3,219,1121.48,5641,5,8509
2,4,484,761.08,3928,5,5927
2,4,173,464,1995,1,2663
2,4,169,203.01,2281,5,1425
2,4,207,550.14,3305,5,3504
2,4,61,86.45,797,5,652
2,4,311,1362.11,3922,1,7649
2,4,418,681,6809,1,5927
2,4,410,485.1,4955,1,6607
2,0,497,172.96,1294,5,2591
2,4,259,2075.8,5688,5,4494
2,3,234,756.25,5245,5,4824
2,0,462,789.66,3930,5,5094
2,4,291,357,2562,5,3088
2,4,116,62.08,1526,2,892
2,4,128,157.56,1018,5,750
2,3,185,322.62,5646,4,5646
2,4,207,81.34,1532,5,1532
2,4,151,191,1532,5,1280
2,4,99,121.52,314,5,313
2,4,61,222.78,412,1,339
2,4,101,113.52,738,5,583
2,0,462,15.36,763,5,726
2,4,133,320.12,1750,1,1939
2,4,106,84.28,682,1,669
2,4,68,248.88,1320,5,1413
2,4,239,616.32,3573,5,4115
2,4,330,515.07,2913,1,4009
2,4,37,88.2,701,5,630
2,4,187,115.14,725,1,718
2,4,329,63.84,1826,1,1584
2,4,120,1015.98,5000,5,5816
2,4,85,359.64,2640,1,2037
2,4,49,240.84,2534,1,1428
2,4,152,285.12,2231,1,1252
2,4,47,61.2,1000,5,655
2,0,148,287.28,1645,3,1318
2,3,141,172,1067,5,995
2,3,235,144.06,2270,5,2265
2,3,298,108.64,656,5,654
2,0,99,165.36,121,1,718
2,4,127,680.9,1685,5,2029
2,3,163,409.4,2350,5,1650
2,3,316,313.95,2308,5,2223
2,3,388,1136.34,7850,1,8600
2,4,152,177,2004,5,1884
2,3,166,746.24,3715,6,5359
2,4,114,274.92,1273,1,1159
2,4,82,43.5,437,1,437
2,3,123,54.75,813,5,570
2,4,49,130,900,5,502
2,4,183,525.96,2475,1,1877
2,4,149,311.85,799,1,1693
2,0,370,1185.08,2160,5,3319
2,3,128,258.24,1770,5,1557
2,4,126,60,760,5,557
2,4,200,303.52,2588,1,3050
2,3,76,98.9,1148,1,1113
2,4,299,711.9,4064,5,5456
2,3,131,182.4,933,5,763
2,0,140,351.9,2096,5,2203
2,4,169,401.98,3284,5,3483
2,4,130,162.61,4576,1,2393
2,3,389,1210.99,14226,5,15673
2,3,166,156.42,6080,5,2972
2,4,148,603.58,4046,5,4068
2,4,131,73.92,649,5,698
2,4,144,121.55,817,5,676
2,0,369,1234.2,6340,5,6307
2,4,155,35,300,5,219
2,0,102,61.06,315,5,254
2,4,149,162,750,5,324
2,4,548,1285.7,898,5,874
2,3,946,18137.48,79870,5,113930
2,3,186,1020.6,1600,5,1722
2,3,212,377,1702,5,1660
2,4,84,210.45,592,5,693
2,3,250,410,2158,5,1455
2,3,86,279,994,5,988
2,3,102,240,1875,5,1940
2,4,137,230,2527,5,2408
2,3,87,150.29,2606,5,1737
2,3,291,1940.68,12694,5,12646
2,3,392,401,4176,5,4414
2,3,165,267,2240,5,2480
2,3,88,102,980,5,980
2,3,249,403,3720,5,3189
2,3,186,857,2914,5,2895
2,3,63,69,360,5,322
2,1,192,980.95,3700,5,3555
2,4,123,100.8,200,5,570
2,4,123,105.28,578,5,464
2,3,186,158.4,1652,5,1742
2,3,119,219.88,780,1,896
2,4,195,1292.56,8690,5,8656
2,4,210,616.08,3748,5,3966
2,3,180,103.4,710,5,989
2,4,238,74.4,856,5,585
2,4,144,356.31,2436,5,1860
2,4,432,862,4101,5,5249
2,4,392,791.84,5231,5,5192
2,3,205,661.27,2853,1,1832
2,3,49,179,1246,5,928
3,4,205,518.4,2570,5,2570
3,3,145,370,1328,5,1328
3,3,172,839.05,3380,5,2964
3,4,137,243.86,1522,5,1304
4,3,371,557.28,2264,5,1631
4,2,217,485.94,2790,5,955
4,3,308,698.54,1312,5,286
4,3,217,752.64,2210,1,1432
5,3,40,809.25,337,5,321
6,4,253,178.1,865,5,593
6,4,405,81.48,441,5,302
6,4,241,1093.86,2731,5,2634
6,0,156,1002.76,1039,5,1040
2,3,92,551.88,1393,1,887
