SizeFP,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Effort
647,3,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,7871
130,3,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,845
254,2,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,2330
1056,3,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,21272
383,2,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4224
345,4,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,2826
209,2,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,7320
366,1,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,9125
1181,2,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,11900
181,2,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,4300
739,1,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,4150
108,2,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,900
48,3,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,583
249,2,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,2565
371,2,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,4047
211,1,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,1520
1849,4,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,25910
2482,4,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,37286
434,4,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,15052
292,3,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,11039
2954,4,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,18500
304,1,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,9369
353,1,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,7184
567,4,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,10447
467,3,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,5100
3368,3,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,63694
253,2,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1651
196,3,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,1450
185,4,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,1745
387,2,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1798
430,2,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,2957
204,2,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,963
71,1,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,1233
840,3,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,3240
1648,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,10000
1035,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,6800
548,1,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,3850
2054,3,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,14000
302,2,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,5787
1172,3,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,9700
253,1,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,1100
227,2,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,5578
59,3,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,1060
299,4,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,5279
422,1,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,8117
1058,3,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,8710
65,3,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,796
390,3,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,11023
193,2,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,1755
1526,4,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,5931
575,2,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,4456
509,1,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,3600
583,3,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,4557
315,2,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,8752
138,2,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,3440
257,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,1981
423,1,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,13700
495,3,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,7105
622,4,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,6816
204,2,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,4620
616,4,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,7451
3643,3,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,39479
