dataset;method;SA;MRE;Runtime
0;1;1.847019;0.084429;0.082097
0;2;0.594816;0.604284;0.083778
0;3;24.168897;-13.182672;5.585557
0;1;0.630605;0.179823;0.036148
0;2;0.557715;0.300756;0.037426
0;3;9.159763;-11.776700;5.514067
0;1;1.784760;0.406820;0.034780
0;2;0.537829;0.790642;0.035823
0;3;27.761957;-8.971857;5.687040
0;1;1.847019;0.136874;0.034343
0;2;0.594816;0.633122;0.035382
0;3;7.765580;-3.531205;5.575537
0;1;0.630605;0.130917;0.033439
0;2;0.557715;0.336351;0.034427
0;3;34.003378;-26.960986;5.564918
0;1;1.784760;0.446861;0.033013
0;2;0.537829;0.802796;0.033957
0;3;13.951098;-5.161040;5.592544
0;1;1.847019;0.129860;0.033650
0;2;0.594816;0.608547;0.034624
0;3;6.415744;-3.782280;5.768465
0;1;0.630605;0.168162;0.033296
0;2;0.557715;0.314412;0.034250
0;3;9.539936;-5.356313;5.681578
0;1;1.784760;0.445205;0.033440
0;2;0.537829;0.795332;0.034409
0;3;12.046314;-5.950417;5.668044
0;1;1.847019;0.123179;0.033156
0;2;0.594816;0.587349;0.034098
0;3;18.145763;-11.396358;5.823668
0;1;0.630605;0.212233;0.033346
0;2;0.557715;0.334883;0.034294
0;3;8.310813;-8.526854;5.715830
0;1;1.784760;0.414384;0.033239
0;2;0.537829;0.811889;0.034185
0;3;20.433600;-7.698645;5.752064
0;1;1.847019;0.102614;0.033652
0;2;0.594816;0.618499;0.034672
0;3;9.763286;-5.520301;5.662043
0;1;0.630605;0.197246;0.033341
0;2;0.557715;0.301943;0.034308
0;3;7.590349;-6.969044;5.774928
0;1;1.784760;0.383248;0.033328
0;2;0.537829;0.796026;0.034299
0;3;14.438595;-7.271369;5.695978
0;1;1.847019;0.106892;0.033296
0;2;0.594816;0.614181;0.034249
0;3;24.523279;-15.137649;5.690266
0;1;0.630605;0.199048;0.033037
0;2;0.557715;0.298476;0.033974
0;3;5.070163;-4.528321;5.731492
0;1;1.784760;0.440377;0.033245
0;2;0.537829;0.791792;0.034201
0;3;16.176094;-3.352384;5.680466
0;1;1.847019;0.127740;0.033427
0;2;0.594816;0.621223;0.034374
0;3;6.275758;-1.884537;5.669271
0;1;0.630605;0.185545;0.033191
0;2;0.557715;0.323640;0.034152
0;3;13.495743;-11.599206;5.540855
0;1;1.784760;0.450937;0.033321
0;2;0.537829;0.798701;0.034269
0;3;32.684363;-6.047737;5.633171
0;1;1.847019;0.031693;0.033603
0;2;0.594816;0.595172;0.034540
0;3;17.483867;-10.311739;5.592206
0;1;0.630605;0.183135;0.034397
0;2;0.557715;0.260564;0.035448
0;3;19.175396;-19.212404;5.629220
0;1;1.784760;0.461231;0.033115
0;2;0.537829;0.798109;0.034049
0;3;20.176590;-4.880762;5.555276
0;1;1.847019;0.129194;0.033344
0;2;0.594816;0.606744;0.034301
0;3;18.733370;-11.337473;5.708653
0;1;0.630605;0.167360;0.033220
0;2;0.557715;0.265117;0.034176
0;3;6.968938;-4.472263;5.834321
0;1;1.784760;0.478054;0.033104
0;2;0.537829;0.794433;0.034071
0;3;2.160853;-0.041332;5.740303
0;1;1.847019;0.090649;0.033674
0;2;0.594816;0.600217;0.034629
0;3;24.841399;-18.039672;5.670526
0;1;0.630605;0.170009;0.033046
0;2;0.557715;0.302347;0.033994
0;3;8.663657;-5.770420;5.541286
0;1;1.784760;0.419651;0.033287
0;2;0.537829;0.805183;0.034245
0;3;7.215145;-1.308329;5.582625
0;1;1.847019;0.062777;0.033225
0;2;0.594816;0.600943;0.034166
0;3;18.838118;-9.022902;5.475150
0;1;0.630605;0.175788;0.033309
0;2;0.557715;0.296951;0.034268
0;3;7.505726;-4.660404;5.470245
0;1;1.784760;0.456186;0.033017
0;2;0.537829;0.782717;0.033951
0;3;12.408504;-5.649196;5.722119
0;1;1.847019;0.144023;0.033994
0;2;0.594816;0.621403;0.034986
0;3;23.265243;-9.463107;5.689206
0;1;0.630605;0.164613;0.033257
0;2;0.557715;0.289910;0.034217
0;3;6.576516;-7.162015;5.523374
0;1;1.784760;0.438064;0.033081
0;2;0.537829;0.795123;0.034020
0;3;13.750026;-4.691571;5.556809
0;1;1.847019;0.137396;0.033645
0;2;0.594816;0.588745;0.034589
0;3;28.186697;-19.706114;5.691749
0;1;0.630605;0.186878;0.033566
0;2;0.557715;0.336107;0.034517
0;3;1.869667;-1.279949;5.558992
0;1;1.784760;0.432912;0.033214
0;2;0.537829;0.803798;0.034158
0;3;10.815107;-6.430723;5.623619
0;1;1.847019;0.104496;0.033163
0;2;0.594816;0.590620;0.034098
0;3;5.802942;-5.015076;5.711997
0;1;0.630605;0.143330;0.033157
0;2;0.557715;0.327238;0.034102
0;3;18.915169;-16.352675;5.465284
0;1;1.784760;0.436474;0.033367
0;2;0.537829;0.798683;0.034326
0;3;13.172655;-4.647370;5.825717
0;1;1.847019;0.132708;0.033235
0;2;0.594816;0.598793;0.034178
0;3;17.945465;-10.065744;5.582172
0;1;0.630605;0.169491;0.033475
0;2;0.557715;0.332967;0.034424
0;3;8.186207;-4.236385;5.805107
0;1;1.784760;0.457438;0.033508
0;2;0.537829;0.793703;0.034483
0;3;17.901240;-5.258723;5.700666
0;1;1.847019;0.135404;0.033415
0;2;0.594816;0.629757;0.034358
0;3;22.758463;-7.904082;5.801784
0;1;0.630605;0.156187;0.033171
0;2;0.557715;0.311743;0.034117
0;3;10.816973;-11.842435;5.639653
0;1;1.784760;0.433138;0.033201
0;2;0.537829;0.789976;0.034147
0;3;23.711177;-8.567809;5.637334
0;1;1.847019;0.113794;0.033362
0;2;0.594816;0.620895;0.034305
0;3;16.405596;-8.090250;5.544730
0;1;0.630605;0.206951;0.033216
0;2;0.557715;0.311890;0.034160
0;3;20.550012;-25.291633;5.639054
0;1;1.784760;0.429425;0.033217
