dataset;method;SA;MRE;Runtime
2;1;0.868284;0.410648;0.085882
2;2;0.458276;0.576881;0.087399
2;3;0.761846;0.294777;6.536655
2;1;1.208512;0.041519;0.049052
2;2;0.741935;0.388399;0.051671
2;3;0.695862;0.213407;6.636555
2;1;0.488771;0.531145;0.030703
2;2;0.723535;0.109463;0.032194
2;3;0.605690;0.377471;6.963156
2;1;0.868284;0.396533;0.030658
2;2;0.458276;0.540400;0.031854
2;3;0.637774;0.273869;6.403063
2;1;1.208512;0.042835;0.029729
2;2;0.741935;0.381573;0.030901
2;3;0.815411;-0.038858;6.546634
2;1;0.488771;0.514872;0.029303
2;2;0.723535;0.194885;0.030481
2;3;0.587833;0.375160;6.937642
2;1;0.868284;0.415119;0.030763
2;2;0.458276;0.567411;0.032043
2;3;0.476739;0.534337;6.624897
2;1;1.208512;0.041035;0.029489
2;2;0.741935;0.369196;0.030659
2;3;0.909556;0.072537;6.531088
2;1;0.488771;0.510135;0.029118
2;2;0.723535;0.197216;0.030259
2;3;0.581365;0.404034;6.517135
2;1;0.868284;0.435987;0.029226
2;2;0.458276;0.565234;0.030377
2;3;0.582570;0.534784;6.444353
2;1;1.208512;0.018924;0.029369
2;2;0.741935;0.379940;0.030546
2;3;0.511125;0.518457;6.439536
2;1;0.488771;0.557443;0.030572
2;2;0.723535;0.167221;0.031859
2;3;0.587512;0.375428;6.723777
2;1;0.868284;0.429372;0.029374
2;2;0.458276;0.540634;0.030554
2;3;0.412526;0.456233;6.749272
2;1;1.208512;0.031802;0.029426
2;2;0.741935;0.412149;0.030590
2;3;0.476842;0.532632;6.392169
2;1;0.488771;0.537121;0.029101
2;2;0.723535;0.139075;0.030256
2;3;0.527345;0.513561;6.594600
2;1;0.868284;0.407785;0.029609
2;2;0.458276;0.551491;0.030793
2;3;0.604795;0.265988;6.604462
2;1;1.208512;0.047667;0.029339
2;2;0.741935;0.401676;0.030504
2;3;1.015614;0.122781;6.373295
2;1;0.488771;0.542217;0.029120
2;2;0.723535;0.139200;0.030267
2;3;0.438334;0.494859;6.688360
2;1;0.868284;0.395467;0.029298
2;2;0.458276;0.565880;0.030462
2;3;0.477507;0.474172;6.458510
2;1;1.208512;0.024941;0.029457
2;2;0.741935;0.395869;0.030601
2;3;0.964820;0.117220;6.437433
2;1;0.488771;0.545529;0.030659
2;2;0.723535;0.134624;0.031932
2;3;0.563185;0.608013;6.811549
2;1;0.868284;0.392932;0.029752
2;2;0.458276;0.563917;0.030908
2;3;0.586392;0.274697;6.666700
2;1;1.208512;0.005221;0.029405
2;2;0.741935;0.393072;0.030567
2;3;0.538936;0.352838;6.676286
2;1;0.488771;0.524334;0.029205
2;2;0.723535;0.183163;0.030364
2;3;0.827722;0.159584;6.616199
2;1;0.868284;0.382695;0.029441
2;2;0.458276;0.559062;0.030612
2;3;0.873293;0.490206;6.580431
2;1;1.208512;0.010994;0.036348
2;2;0.741935;0.380941;0.037546
2;3;0.596570;0.510790;6.462655
2;1;0.488771;0.533966;0.030296
2;2;0.723535;0.207256;0.031534
